Age_ID,Fare_ID,SibSp_ID,Age_bins,Fare_bins,SibSp_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,60,2,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0.  2.5 5. ],0.2908496732026144,0.6679257091842347,0.8887478066769238,2.0,1,1
0,60,3,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 3. 5.],0.2969187675070028,0.6671763208178164,0.8730012796657493,2.0,1,1
0,60,5,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 5.],0.2987861811391223,0.6642092595051684,0.8338480633330843,2.0,1,1
0,60,25,[  0.  18.  35.  50.  65. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[ 0.  2.  4.  6.  8. 10.],0.2903828197945845,0.6706278869244353,0.89331499268674,2.333333333333333,1,1
2,0,0,[ 0.   40.21 80.  ],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.2016806722689076,0.8365616574309435,0.8614618681621443,3.0,1,1
10,60,2,[  0.    33.33  66.67 100.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0.  2.5 5. ],0.3319327731092437,0.5100183227779979,0.7824608219701265,1.3333333333333333,1,1
10,60,3,[  0.    33.33  66.67 100.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 3. 5.],0.3356676003734827,0.5092689344115797,0.7667142949589519,1.3333333333333333,1,1
10,60,5,[  0.    33.33  66.67 100.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 5.],0.3384687208216619,0.5063018730989316,0.7275610786262869,1.3333333333333333,1,1
10,60,25,[  0.    33.33  66.67 100.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[ 0.  2.  4.  6.  8. 10.],0.3314659197012138,0.5127205005181985,0.7870280079799427,1.6666666666666667,1,1
11,60,3,[ 0.   26.95 53.47 80.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 3. 5.],0.3155929038281979,0.5202742617365147,0.8076977524770825,1.0,1,1
11,60,5,[ 0.   26.95 53.47 80.  ],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 5.],0.3179271708683473,0.5173072004238666,0.7685445361444175,1.0,1,1
19,60,3,[  0.  25.  50.  75. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0. 3. 5.],0.315126050420168,0.5374472470102699,0.8142121715247436,2.0,1,1
27,48,0,[ 0.    0.91 11.12 26.   52.12 80.  ],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1353874883286648,0.926762579287464,0.9234837545981112,2.0,1,1
27,83,0,[ 0.    0.91 11.12 26.   52.12 80.  ],[  0.    46.58  93.15 139.73 186.3  232.88 279.45 513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1568627450980392,0.8781593441361834,0.9832678690507828,2.0,1,1
28,0,0,[  0.  20.  40.  60.  80. 100.],[  0.  10.  20.  30.  40.  50. 100. 600.],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.1199813258636788,0.977832537388158,0.978774577820778,3.6666666666666665,1,1
28,48,0,[  0.  20.  40.  60.  80. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.130718954248366,0.9573336891332236,0.9047557337525554,2.6666666666666665,1,1
28,48,3,[  0.  20.  40.  60.  80. 100.],[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],[0. 3. 5.],0.2633053221288515,0.7761430641380539,0.836141578874805,1.6666666666666667,1,1
28,49,3,[  0.  20.  40.  60.  80. 100.],[  0.    10.52  29.7   31.    52.    71.28  73.5  513.  ],[0. 3. 5.],0.2558356676003734,0.7772096482708392,0.8236479820049017,1.6666666666666667,1,1
28,50,5,[  0.  20.  40.  60.  80. 100.],[  0.    73.19 146.38 219.57 292.76 365.95 439.14 512.33],[0. 5.],0.2647058823529412,0.6735880762797827,0.851246302429253,1.6666666666666667,1,1
28,60,2,[  0.  20.  40.  60.  80. 100.],[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],[0.  2.5 5. ],0.3006535947712418,0.6457582465723926,0.8675223844977018,1.6666666666666667,1,1
